SampleID,TA,Mass,Salinity,Date,Type
2_M_Sq1_20220710,2186.295708,59.923,35.19,20230531,Sample
1_M_Sq3_20220629,2185.690351,60.129,35.57,20230531,Sample
2_M_Sq3_20220629,2187.630193,59.968,35.57,20230531,Sample
Junk6,2068.124644,59.958,35,20230531,Junk
1_C_Sq2_20220714,2193.936893,60.21,35.18,20230531,Sample
2_C_Sq2_20220714,2194.225308,60.408,35.18,20230531,Sample
1_C_Sq3_20220708,2195.031207,59.935,35.17,20230531,Sample
2_C_Sq3_20220708,2194.572088,60.133,35.17,20230531,Sample
1_H_Sq3_20220701,2199.760877,60.521,35.28,20230531,Sample
2_H_Sq3_20220701,2201.839462,59.582,35.28,20230531,Sample
1_H_Sq1_20220710,2196.175444,60.085,35.58,20230531,Sample
2_H_Sq1_20220710,2196.629413,59.719,35.58,20230531,Sample
JUNK1,2086.456027,60.092,35,20230601,Junk
CRM1,2244.263835,60.22,33.532,20230601,CRM
Junk2,2069.846786,59.958,35,20230601,Junk
1_C_Sq2_20220630,2196.213973,59.558,34.86,20230601,Sample
2_C_Sq2_20220630,2194.054641,59.532,34.86,20230601,Sample
1_M_Sq1_20220702,2194.154507,60.003,35.14,20230601,Sample
2_M_Sq1_20220702,2200.138163,59.603,35.14,20230601,Sample
1_C_Sq2_20220706,2193.3601,60.362,35.17,20230601,Sample
2_C_Sq2_20220706,2191.30882,59.947,35.17,20230601,Sample
1_C_Sq3_20220712,2197.958374,60.23,35.18,20230601,Sample
2_C_Sq3_20220712,2201.912799,59.599,35.18,20230601,Sample
Junk3,2072.805759,60.174,35,20230601,Junk
1_M_Sq2_20220708,2200.569007,60.17,34.74,20230601,Sample
2_M_Sq2_20220708,2204.88031,59.505,34.74,20230601,Sample
1_C_Sq3_20220706,2184.823699,60.387,35.12,20230601,Sample
2_C_Sq3_20220706,2189.90991,59.619,35.12,20230601,Sample
1_C_Sq2_20220710,2195.755998,60.208,35.17,20230601,Sample
2_C_Sq2_20220710,2195.554662,60.288,35.17,20230601,Sample
1_M_Sq2_20220630,2199.867423,60.077,35.27,20230601,Sample
2_M_Sq2_20220630,2196.173641,60.1,35.27,20230601,Sample
Junk4,2067.664904,59.541,35,20230601,Junk
1_M_Sq3_20220714,2198.639522,59.954,35.21,20230601,Sample
2_M_Sq3_20220714,2197.028933,60.208,35.21,20230601,Sample
