Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 13:47:54,11.53,88.75,83.88,88.16,91.5,76.21,71.18,105.75,92.69,77.43,71.63,53.79,110.17,79.72,96.94,98.65,97.42,72.86,65.52,92.88,110.56,107.14,83.76,81.53,87.76,,30.5,965,37,30.75,965D6-(E1);
13.07.22 13:48:09,11.78,111.14,85.78,89.8,94.91,94.93,84.13,95.3,97.79,105.4,84.72,49.89,98.21,80.2,111.39,82.22,96.03,83.76,81.82,109.31,90.7,106.3,90.31,73.6,106.98,,30.5,965,37,30.76,965D6-(E1);
13.07.22 13:48:24,12.03,127.49,106.47,103.9,112.2,115.14,113.18,136.44,119.27,137.4,97.36,89.78,127.55,111.79,134.06,112.08,134.08,120.95,102.91,136.81,120.98,128.04,129.04,112.89,119.14,,30.5,965,37,30.79,965D6-(E1);
13.07.22 13:48:39,12.28,106.84,79.38,84.39,99.7,94.67,92.14,96.3,110.37,90.13,78.42,53.67,107.1,80.92,112.51,80.92,103.74,98,98.79,128.88,111.53,88.33,105.55,79.68,99.65,,30.5,965,37,30.82,965D6-(E1);
13.07.22 13:48:54,12.53,83.84,75.8,76.98,83.41,93.06,80.16,95.3,79.46,97.28,77.02,45.39,98.48,59.26,72.75,73.99,100.21,75.15,70.22,89.84,68.28,58.81,86.31,74.69,78.04,,30.5,965,37,30.83,965D6-(E1);
13.07.22 13:49:09,12.78,111.43,92.33,93.23,101.86,80.26,87.41,113.52,105.6,93.07,68.67,55.7,110.17,78.89,118.13,102.96,105.88,87.15,60.54,117.35,117.27,100.51,99.57,81.29,105.29,,30.5,965,37,30.83,965D6-(E1);
13.07.22 13:49:24,13.03,89.82,91.03,56.08,82.02,89.74,66.46,96.59,93.36,85.39,74.13,56.83,117.43,74.63,105.72,46.63,128.78,97.74,78.91,101.77,106.03,82.25,89.02,91.24,112.25,,30.5,965,37,30.86,965D6-(E1);
13.07.22 13:49:39,13.28,114.63,100.92,93.23,94.91,106.6,104.81,116.25,112.22,117.02,85.11,56.83,98.08,101.05,131.19,133.93,111.08,96.56,91.97,108,92.12,103.94,87.72,80.91,98.51,,30.5,965,37,30.88,965D6-(E1);
13.07.22 13:49:54,13.53,147.38,126.19,116.77,110.66,137.49,95.38,133.2,129.82,128.52,108.31,72.5,125.77,133.5,173.63,117.71,128.01,123.83,116.95,142.98,119.83,117.98,124.44,108.34,124.25,,30.5,965,37,30.9,965D6-(E1);
13.07.22 13:50:09,13.78,81.74,88.58,84.93,97.16,93.46,97.87,125.87,106.02,94.15,78.04,72.62,88.94,83.58,116.52,101.18,104.03,87.66,70.34,116.75,83.85,105.61,99.3,86.79,85.96,,30.5,965,37,30.9,965D6-(E1);
13.07.22 13:50:24,14.03,105.98,102.53,94.33,95.7,93.59,102.65,114.73,107.98,91.36,78.17,49.78,108.77,77.1,103.08,83.4,98.53,85.01,76.03,105.96,88.27,101.05,93.32,86.28,96.63,,30.5,965,37,30.91,965D6-(E1);
13.07.22 13:50:39,14.28,84.76,87.43,91.85,106.78,115.28,96.56,141.03,104.63,107.01,85.37,55.81,101.87,97.44,117.81,91.33,124.94,95.51,95.85,80.89,105.9,111.37,97.56,94.99,96.13,,30.5,965,37,30.93,965D6-(E1);
13.07.22 13:50:54,14.53,116.54,86.92,86,114.18,106.74,94.34,111.71,111.22,98.39,77.66,70.34,89.46,97.82,134.23,92.68,118.75,87.41,88.41,90.94,114.88,105.33,97.16,86.53,102.07,,30.5,965,37,30.94,965D6-(E1);
13.07.22 13:51:09,14.78,108.41,85.27,82.25,89.04,85.15,73.46,94.44,75.94,90.59,71.14,50.11,107.8,102.22,123.36,84.35,102.32,81.02,82.49,98.21,82.73,101.46,75.38,83.15,95,,30.5,965,37,30.97,965D6-(E1);
13.07.22 13:51:24,15.03,135.38,96.92,108.08,126.02,133,111.1,142.02,125.77,125.78,100.92,89.14,125.62,124.41,150.42,105.92,131.73,117.81,101.77,111.97,131.81,132.74,120.21,100.65,124.11,,30.5,965,37,30.97,965D6-(E1);
13.07.22 13:51:39,15.28,117.87,112.01,116.02,120.04,119.06,106.16,125.08,144.24,132.49,94.92,79.82,116.14,110.71,157.44,122.64,127.39,118.38,111.16,138.1,130.32,108.55,117.19,110.12,110.66,,30.5,965,37,30.99,965D6-(E1);
13.07.22 13:51:54,15.53,90.36,85.01,101.34,107.74,97.64,124.55,110.21,119.27,111.24,91.17,67.72,103.24,104.98,113.79,87.33,123.42,84.88,98.93,123.29,99.72,96.84,98.09,88.94,100.41,,30.5,965,37,30.99,965D6-(E1);
13.07.22 13:52:09,15.78,117.13,101.19,103.05,77.9,99.14,82.39,107.08,104.36,103.31,100.5,58.08,105.99,103.66,126.67,108.26,115.19,112.48,82.75,119.77,109.59,91.89,108.87,100.39,101.43,,30.5,965,37,31,965D6-(E1);
13.07.22 13:52:24,16.03,124.14,101.59,107.21,119.03,116.44,103.86,115.34,112.22,119.52,80.72,72.14,136.96,95.52,134.91,114.21,126.93,103.46,97.25,141.67,103.33,112.08,97.56,92.14,105.29,,30.5,965,37,31.01,965D6-(E1);
13.07.22 13:52:39,16.28,96.48,90.9,109.83,106.92,113.41,96.95,116.25,107.14,123.74,103.27,73.1,106.41,118.79,144.41,93.05,121.15,102.39,100.06,136.81,120.98,111.66,129.04,101.45,113.72,,30.5,965,37,31.04,965D6-(E1);
13.07.22 13:52:54,16.53,86.09,85.01,86.94,111.5,71.34,77.58,96.59,91.77,89.51,73.63,38.1,131.92,85.9,110.28,72.4,97.7,84.26,71.37,128.09,108.9,90.7,82.49,90.73,87.64,,30.5,965,37,31.04,965D6-(E1);
13.07.22 13:53:09,16.78,129.79,101.19,100.07,133.95,134.23,121.81,132.55,141.4,135.99,94.25,62.11,134.97,113.56,141.1,98.02,105.02,110.13,100.91,151.95,107.81,112.37,113.63,110.81,93.64,,30.5,965,37,31.04,965D6-(E1);
13.07.22 13:53:24,17.03,118.61,83.75,130.2,123.38,121.86,115.56,125.24,113.93,129.38,79.18,60.49,131.01,94.5,135.59,61.11,112.83,98.53,110.14,125.3,118.84,116.39,94.77,95.91,104.39,,30.5,965,37,31.05,965D6-(E1);
13.07.22 13:53:39,17.28,102.73,81.99,109.24,117.31,97.37,92.91,109.91,90.84,92.44,84.2,58.2,113.85,94.12,112.67,98.27,116.07,98.27,90.87,111.82,106.17,104.22,98.63,85.65,96,,30.5,965,37,31.08,965D6-(E1);
13.07.22 13:53:54,17.53,120.54,94.81,90.2,112.77,98.45,100.38,118.71,97.79,109.77,88.78,56.49,105.16,88.24,139.89,113.81,94.24,102.52,68.94,123.6,131.06,89.51,113.49,80.3,111.46,,30.5,965,37,31.1,965D6-(E1);
