"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g15217.t1",681,823,2044,1753,953,863,1097,544,930,866,400
"Pocillopora_acuta_HIv2___RNAseq.g12288.t1",73,86,59,13,74,47,111,71,156,43,17
"Pocillopora_acuta_HIv2___TS.g28689.t1",8,28,4,23,27,28,76,7,13,24,0
"Pocillopora_acuta_HIv2___TS.g11901.t1",44,55,54,37,95,36,44,64,44,23,30
"Pocillopora_acuta_HIv2___RNAseq.g17910.t1",727,973,699,627,926,655,677,764,692,961,166
"Pocillopora_acuta_HIv2___RNAseq.g6588.t1",816,786,1068,931,940,776,831,632,1012,805,321
"Pocillopora_acuta_HIv2___RNAseq.g15715.t1",272,582,1221,1078,409,461,530,299,630,453,1089
"Pocillopora_acuta_HIv2___RNAseq.g23271.t1",10,21,12,9,13,29,33,11,42,18,0
"Pocillopora_acuta_HIv2___RNAseq.g3753.t1",333,256,251,257,324,262,229,284,266,264,125
"Pocillopora_acuta_HIv2___RNAseq.g3253.t1",179,188,49,119,252,107,228,172,177,145,33
"Pocillopora_acuta_HIv2___TS.g9584.t1",68,116,25,19,83,99,118,62,45,83,43
"Pocillopora_acuta_HIv2___RNAseq.g29157.t1",66,116,169,201,145,105,72,119,67,104,12
"Pocillopora_acuta_HIv2___RNAseq.12227_t",56,73,105,67,71,87,59,65,65,71,30
"Pocillopora_acuta_HIv2___TS.g20425.t1",24,19,19,31,18,25,10,23,17,21,4
"Pocillopora_acuta_HIv2___RNAseq.g14757.t1",324,366,557,602,421,462,458,409,309,494,239
"Pocillopora_acuta_HIv2___RNAseq.g6399.t1",73,82,67,102,61,50,65,88,118,58,207
"Pocillopora_acuta_HIv2___TS.g15523.t1",9,9,9,6,9,14,14,10,6,10,0
"Pocillopora_acuta_HIv2___RNAseq.g6227.t1",194,272,12,33,128,165,335,89,184,88,76
"Pocillopora_acuta_HIv2___RNAseq.g16531.t1",3512,3438,2564,2797,3201,3472,4200,2899,3113,3737,616
"Pocillopora_acuta_HIv2___RNAseq.g30208.t1",180,126,159,113,186,130,93,89,132,152,27
"Pocillopora_acuta_HIv2___TS.g19225.t1",13,12,9,17,17,23,18,21,23,18,0
"Pocillopora_acuta_HIv2___RNAseq.g30972.t1c",22,21,18,12,25,18,29,18,30,41,2
"Pocillopora_acuta_HIv2___RNAseq.g30972.t1b",21,15,0,9,17,15,15,12,7,11,6
"Pocillopora_acuta_HIv2___RNAseq.g30972.t1a",2682,2720,3229,2486,3028,2974,3685,3037,3416,3386,480
"Pocillopora_acuta_HIv2___RNAseq.g263.t1",880,1342,3123,2185,1334,1469,1722,899,1085,1394,460
"Pocillopora_acuta_HIv2___RNAseq.g28840.t1",850,1444,2033,1598,1936,1333,1908,1201,816,1481,661
"Pocillopora_acuta_HIv2___RNAseq.g21107.t1",18,15,5,14,17,22,34,23,25,12,5
"Pocillopora_acuta_HIv2___RNAseq.g19266.t1",13,14,13,19,23,45,0,23,14,40,8
"Pocillopora_acuta_HIv2___TS.g1731.t1",30,29,72,89,27,36,24,82,34,34,0
