"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g4293.t1",126,133,2960,4653,152,3088,474,116,152,573,37
"Pocillopora_acuta_HIv2___RNAseq.g518.t1c",112,53,90,67,56,58,21,60,100,49,183
"Pocillopora_acuta_HIv2___RNAseq.g3446.t1",16,11,8,9,32,28,41,11,13,9,9
"Pocillopora_acuta_HIv2___RNAseq.g14838.t1",99,92,34,41,93,50,65,91,69,89,14
"Pocillopora_acuta_HIv2___TS.g6656.t3",1803,1747,1524,1389,1887,1339,1705,1754,1696,1734,1561
"Pocillopora_acuta_HIv2___RNAseq.g4707.t1",748,329,645,1055,336,915,507,320,596,410,305
"Pocillopora_acuta_HIv2___RNAseq.g14516.t1",30,22,0,8,34,16,35,0,40,27,11
"Pocillopora_acuta_HIv2___RNAseq.g30801.t1",3768,4951,2191,1730,5446,3413,4729,5143,5048,3797,582
"Pocillopora_acuta_HIv2___RNAseq.g10501.t2",826,745,236,370,834,420,1050,642,639,1048,330
"Pocillopora_acuta_HIv2___RNAseq.g5350.t1",199,197,141,158,217,186,291,157,161,267,96
"Pocillopora_acuta_HIv2___TS.g10425.t1",2897,3391,3348,3173,3981,2374,2895,2868,2286,2588,1310
"Pocillopora_acuta_HIv2___TS.g27972.t1",54,44,54,39,83,48,40,38,54,45,42
"Pocillopora_acuta_HIv2___RNAseq.g14984.t1",11843,14857,3561,4186,15583,7363,11875,14422,10941,10968,5098
"Pocillopora_acuta_HIv2___RNAseq.g24665.t1",72,110,144,117,108,104,123,108,85,110,94
"Pocillopora_acuta_HIv2___RNAseq.g18317.t1",5,21,125,77,8,29,15,10,10,15,0
"Pocillopora_acuta_HIv2___RNAseq.g29540.t1",71,42,34,17,86,45,97,35,45,93,60
"Pocillopora_acuta_HIv2___RNAseq.g20407.t1",623,677,846,841,637,619,749,581,476,578,499
"Pocillopora_acuta_HIv2___RNAseq.g28835.t1",212,268,320,283,261,211,191,246,229,278,352
"Pocillopora_acuta_HIv2___RNAseq.g2233.t1",59,110,16,22,102,60,84,48,74,57,24
"Pocillopora_acuta_HIv2___RNAseq.g19873.t1",299,585,314,388,594,576,336,463,406,458,157
"Pocillopora_acuta_HIv2___RNAseq.g20967.t1",56,46,61,28,32,38,12,26,63,39,47
"Pocillopora_acuta_HIv2___RNAseq.g16893.t1",372,508,921,738,617,637,762,554,628,621,672
"Pocillopora_acuta_HIv2___RNAseq.g24667.t1",641,931,919,872,933,795,852,469,759,543,518
"Pocillopora_acuta_HIv2___TS.g7415.t1",163,244,192,152,234,173,245,153,244,222,72
"Pocillopora_acuta_HIv2___RNAseq.g4705.t1",96,144,135,41,148,100,108,148,84,126,29
"Pocillopora_acuta_HIv2___RNAseq.g16279.t1",2482,3165,3654,3965,3173,2640,2835,3264,2646,2675,1162
"Pocillopora_acuta_HIv2___RNAseq.g18340.t1",114,104,174,148,153,131,129,110,145,157,65
"Pocillopora_acuta_HIv2___RNAseq.g30803.t1",444,413,541,518,452,307,517,403,440,424,168
"Pocillopora_acuta_HIv2___RNAseq.g5213.t1",902,1122,1636,1507,960,1280,956,1111,1088,1094,340
"Pocillopora_acuta_HIv2___TS.g30914.t1",744,642,48,50,401,439,586,504,673,608,351
"Pocillopora_acuta_HIv2___RNAseq.g5394.t1",477,676,539,498,742,478,600,583,500,512,303
"Pocillopora_acuta_HIv2___RNAseq.g16891.t1",143,227,258,269,264,266,291,266,221,227,78
"Pocillopora_acuta_HIv2___RNAseq.g21873.t1",32,43,35,45,36,33,65,30,25,38,13
"Pocillopora_acuta_HIv2___RNAseq.g25783.t1",375,566,308,327,203,423,280,413,477,290,216
"Pocillopora_acuta_HIv2___RNAseq.g10295.t1",51,25,0,37,54,28,199,13,52,74,44
"Pocillopora_acuta_HIv2___RNAseq.g19248.t1",7,14,19,11,16,15,16,12,12,21,6
"Pocillopora_acuta_HIv2___RNAseq.g15831.t1",633,483,40,50,980,335,4305,410,864,1577,233
"Pocillopora_acuta_HIv2___RNAseq.g13427.t1",428,375,62,75,379,148,355,292,404,228,67
"Pocillopora_acuta_HIv2___RNAseq.g30122.t1",49,90,163,98,63,74,62,76,69,91,29
"Pocillopora_acuta_HIv2___TS.g16482.t1",2319,4178,990,579,5391,960,4158,3868,2524,2335,963
"Pocillopora_acuta_HIv2___RNAseq.g22515.t1",342,273,251,238,276,265,265,309,331,322,76
"Pocillopora_acuta_HIv2___RNAseq.g10984.t1",48,53,60,54,29,32,60,38,111,62,46
"Pocillopora_acuta_HIv2___RNAseq.17183_t",1628,2406,2948,2239,2550,1580,2170,1907,1380,1601,502
"Pocillopora_acuta_HIv2___RNAseq.g19557.t1",813,1232,1266,1240,1229,857,964,1044,793,738,289
"Pocillopora_acuta_HIv2___RNAseq.g20646.t1",117,92,159,134,104,159,86,99,114,112,94
"Pocillopora_acuta_HIv2___RNAseq.g21028.t1a",1933,1738,2460,2691,2180,1615,1861,1935,2387,1595,5167
"Pocillopora_acuta_HIv2___TS.g27264.t1",69,80,2,18,157,60,97,27,116,70,50
"Pocillopora_acuta_HIv2___RNAseq.g21028.t1b",1313,1074,1543,1826,1337,1158,1156,1278,1334,1028,1809
"Pocillopora_acuta_HIv2___TS.g26334.t1",1412,1415,1775,1555,1677,1569,1802,1379,1684,1511,576
"Pocillopora_acuta_HIv2___RNAseq.g12075.t1",913,1126,784,701,1332,882,1072,1127,723,972,211
"Pocillopora_acuta_HIv2___RNAseq.g15833.t1",935,849,956,894,1319,782,1066,929,1078,795,316
"Pocillopora_acuta_HIv2___RNAseq.27805_t",1313,1235,1228,1124,1274,1328,1374,1382,1480,1368,388
"Pocillopora_acuta_HIv2___RNAseq.g6223.t1",152,74,15,22,189,39,237,109,65,171,131
"Pocillopora_acuta_HIv2___RNAseq.g3584.t1",423,593,477,532,539,532,596,585,450,576,80
"Pocillopora_acuta_HIv2___RNAseq.g2575.t1a",199,273,211,154,309,326,322,200,203,276,63
"Pocillopora_acuta_HIv2___RNAseq.g2575.t1b",16,20,864,585,79,78,84,19,24,89,15
"Pocillopora_acuta_HIv2___RNAseq.g28466.t1",166,212,65,44,89,107,156,141,206,76,64
"Pocillopora_acuta_HIv2___RNAseq.g5364.t1",20,14,13,9,14,11,6,15,11,9,0
"Pocillopora_acuta_HIv2___TS.g30597.t1",156,201,382,422,286,200,169,178,119,155,47
"Pocillopora_acuta_HIv2___RNAseq.g5329.t1",461,579,930,1020,636,705,549,599,504,690,126
"Pocillopora_acuta_HIv2___RNAseq.g6206.t1",262,395,328,408,395,173,307,283,285,288,83
"Pocillopora_acuta_HIv2___TS.g24305.t2",1875,1886,2152,1654,1934,1308,1966,1563,1718,1570,1579
"Pocillopora_acuta_HIv2___TS.g2534.t1",16,41,388,288,28,123,55,40,19,44,7
"Pocillopora_acuta_HIv2___RNAseq.g10785.t1",953,1278,903,1253,1052,1434,977,935,1001,1229,547
"Pocillopora_acuta_HIv2___RNAseq.g12539.t1",4941,7793,3818,3066,7057,5254,5372,4881,3958,4236,1033
"Pocillopora_acuta_HIv2___RNAseq.g25042.t1",23,4,0,8,14,7,14,20,24,18,7
"Pocillopora_acuta_HIv2___RNAseq.g11699.t1",473,441,672,597,552,375,459,455,408,427,291
"Pocillopora_acuta_HIv2___RNAseq.g25668.t1",45,234,39,16,224,79,105,80,34,85,44
"Pocillopora_acuta_HIv2___RNAseq.g2977.t1",47,92,61,25,62,54,87,112,82,82,56
"Pocillopora_acuta_HIv2___TS.g21084.t1",858,754,2059,1814,1114,1108,1046,908,872,1180,531
"Pocillopora_acuta_HIv2___RNAseq.g11001.t1",30,49,27,5,12,4,18,8,7,9,32
"Pocillopora_acuta_HIv2___RNAseq.g6551.t1b",850,626,359,295,829,589,702,965,908,682,245
"Pocillopora_acuta_HIv2___RNAseq.g20810.t1",3912,3912,5958,4643,4848,3597,3750,3182,5066,2920,4184
"Pocillopora_acuta_HIv2___TS.g24869.t1",381,513,277,311,394,368,432,459,493,418,60
"Pocillopora_acuta_HIv2___RNAseq.g18565.t1",31,48,20,3,36,27,39,28,48,28,37
"Pocillopora_acuta_HIv2___RNAseq.g12141.t1",454,357,316,420,307,389,366,352,374,336,100
"Pocillopora_acuta_HIv2___RNAseq.g26039.t2",130,138,585,385,136,222,272,64,213,184,165
"Pocillopora_acuta_HIv2___RNAseq.g9188.t1",777,601,1547,1395,730,806,815,608,894,712,372
"Pocillopora_acuta_HIv2___RNAseq.g7099.t1",1052,1420,420,531,1206,898,4359,913,758,2074,284
"Pocillopora_acuta_HIv2___RNAseq.g18484.t1",34,50,41,49,21,20,53,16,20,20,44
"Pocillopora_acuta_HIv2___RNAseq.g8528.t1",98,84,19,12,100,20,146,97,79,91,24
"Pocillopora_acuta_HIv2___RNAseq.g16853.t1",46,119,31,31,28,83,65,50,91,45,22
"Pocillopora_acuta_HIv2___RNAseq.g28616.t1",250,388,246,260,181,393,198,275,244,281,104
"Pocillopora_acuta_HIv2___RNAseq.g19116.t1",388,342,535,494,442,411,520,272,406,432,343
"Pocillopora_acuta_HIv2___RNAseq.g12120.t1",360,416,581,380,426,336,336,279,413,379,146
"Pocillopora_acuta_HIv2___TS.g24307.t1",599,706,872,876,580,645,568,604,540,502,423
"Pocillopora_acuta_HIv2___TS.g27275.t1",187,257,151,53,84,422,156,410,291,114,61
"Pocillopora_acuta_HIv2___TS.g24596.t1",361,840,379,294,249,719,354,528,380,423,112
"Pocillopora_acuta_HIv2___RNAseq.g5211.t1",70,52,241,112,115,72,108,158,98,149,43
"Pocillopora_acuta_HIv2___TS.g6432.t1",421,356,475,927,427,736,354,478,456,356,192
"Pocillopora_acuta_HIv2___RNAseq.g6761.t1",187,102,161,141,147,134,94,96,212,123,29
"Pocillopora_acuta_HIv2___RNAseq.g1086.t1",200,121,329,375,195,182,190,156,271,181,101
"Pocillopora_acuta_HIv2___RNAseq.g18567.t1",679,528,771,606,766,905,697,612,965,501,365
"Pocillopora_acuta_HIv2___RNAseq.g13114.t1",30,58,30,25,101,36,46,41,19,95,36
"Pocillopora_acuta_HIv2___RNAseq.g3070.t1",55,28,30,23,41,30,25,35,54,13,656
"Pocillopora_acuta_HIv2___RNAseq.g14102.t1b",167,265,129,108,234,161,247,130,85,49,146
"Pocillopora_acuta_HIv2___RNAseq.g27470.t1",119,38,89,103,65,77,76,26,100,37,13
"Pocillopora_acuta_HIv2___RNAseq.g24188.t1",1300,1599,1527,1393,1761,1533,1593,1687,1585,1456,770
"Pocillopora_acuta_HIv2___RNAseq.g26634.t1",364,277,387,451,331,253,330,281,335,370,130
"Pocillopora_acuta_HIv2___TS.g22590.t2",874,1269,1845,1482,1294,1228,1015,886,1322,1274,736
"Pocillopora_acuta_HIv2___RNAseq.g11075.t1",1314,2522,1536,1976,1848,2287,1810,1845,1354,1521,271
"Pocillopora_acuta_HIv2___RNAseq.g5824.t1",2631,3141,3655,3143,3657,2612,3089,2556,2515,2628,1206
"Pocillopora_acuta_HIv2___RNAseq.g7700.t1",18,15,0,5,14,13,13,8,21,18,7
"Pocillopora_acuta_HIv2___TS.g28049.t1",150,93,138,173,170,163,125,109,161,142,119
"Pocillopora_acuta_HIv2___RNAseq.g8209.t1",939,1340,1718,1589,1263,1083,1268,1034,1063,921,889
"Pocillopora_acuta_HIv2___RNAseq.g3003.t1",2072,3985,1507,1961,3508,3016,3059,3442,2735,2909,600
"Pocillopora_acuta_HIv2___TS.g16233.t1",433,601,623,538,395,517,418,604,483,476,532
"Pocillopora_acuta_HIv2___TS.g8755.t2",663,456,661,619,659,555,619,558,725,634,425
"Pocillopora_acuta_HIv2___RNAseq.g10509.t1",2356,3351,2722,2309,3185,2440,3429,2962,2711,2607,527
"Pocillopora_acuta_HIv2___RNAseq.g8553.t1",116,99,110,56,77,64,170,69,71,92,42
"Pocillopora_acuta_HIv2___RNAseq.g8853.t1",1229,1246,1597,1719,1211,1238,1332,1279,1322,1137,717
"Pocillopora_acuta_HIv2___RNAseq.g19766.t1",2272,1148,1623,1135,843,1680,1212,1428,4951,1398,586
"Pocillopora_acuta_HIv2___TS.g29488.t2",1015,795,2141,1588,1009,878,1115,615,937,918,436
"Pocillopora_acuta_HIv2___RNAseq.g16471.t1",438,463,593,612,519,433,422,499,361,389,402
"Pocillopora_acuta_HIv2___RNAseq.g5826.t1",1167,895,2187,1645,1204,1053,1155,1038,1351,1113,1094
"Pocillopora_acuta_HIv2___TS.g27158.t2",162,213,217,252,161,204,167,214,158,201,103
"Pocillopora_acuta_HIv2___RNAseq.g4185.t1",321,570,1073,548,582,309,401,414,464,449,126
"Pocillopora_acuta_HIv2___RNAseq.g5059.t1",2199,2166,4492,3924,2673,1850,2357,1963,2139,2129,1286
"Pocillopora_acuta_HIv2___RNAseq.g27337.t1",807,1107,803,1154,1228,621,1017,1064,520,773,467
"Pocillopora_acuta_HIv2___TS.g3751.t1",427,577,566,564,501,364,549,515,440,390,118
"Pocillopora_acuta_HIv2___RNAseq.g10787.t1",1047,1375,941,1093,1133,1202,1273,1233,1088,1278,215
"Pocillopora_acuta_HIv2___TS.g9942.t1",734,749,1061,908,1199,666,774,1153,921,878,223
"Pocillopora_acuta_HIv2___RNAseq.g17927.t1",43,34,90,40,24,18,50,54,40,48,0
"Pocillopora_acuta_HIv2___TS.g7777.t2",3473,4416,4814,4589,4653,3647,4527,3683,4665,4176,1895
"Pocillopora_acuta_HIv2___RNAseq.g14007.t1",110,259,619,505,197,236,263,141,162,238,72
"Pocillopora_acuta_HIv2___TS.g24850.t1",55,47,69,70,56,63,63,47,49,50,126
"Pocillopora_acuta_HIv2___RNAseq.g9330.t1",130,121,220,209,153,161,163,109,108,142,84
"Pocillopora_acuta_HIv2___RNAseq.g30104.t1",146,284,210,212,261,198,221,168,142,206,22
"Pocillopora_acuta_HIv2___TS.g28937.t1",1332,1490,1606,1413,1448,1324,1276,1162,1681,1183,840
"Pocillopora_acuta_HIv2___TS.g13783.t1",19,24,15,19,50,43,25,7,29,27,26
"Pocillopora_acuta_HIv2___RNAseq.g14005.t1",74,62,200,222,100,91,121,101,91,180,96
"Pocillopora_acuta_HIv2___RNAseq.g20822.t1",60,83,748,534,96,226,135,87,116,155,22
"Pocillopora_acuta_HIv2___RNAseq.g16473.t1",2358,3726,2766,2757,2768,3121,2963,3406,2870,2986,676
"Pocillopora_acuta_HIv2___TS.g10727.t1",308,323,66,66,282,156,359,158,389,238,213
"Pocillopora_acuta_HIv2___RNAseq.g6599.t1",68,112,98,64,90,93,111,100,88,100,18
"Pocillopora_acuta_HIv2___RNAseq.g2322.t1b",1094,1260,704,616,1276,1240,1111,1295,1353,935,412
"Pocillopora_acuta_HIv2___RNAseq.g2322.t1a",122,166,197,128,160,95,142,108,139,153,70
"Pocillopora_acuta_HIv2___RNAseq.g27335.t1",168,277,221,231,364,305,364,317,156,459,127
"Pocillopora_acuta_HIv2___RNAseq.g23006.t1",121,197,14,41,174,59,121,189,113,134,32
"Pocillopora_acuta_HIv2___RNAseq.g4258.t2",16,12,14,5,10,10,6,15,16,9,11
"Pocillopora_acuta_HIv2___RNAseq.g8231.t1",1400,1694,1447,1494,1708,1389,1459,1698,1374,1277,843
"Pocillopora_acuta_HIv2___RNAseq.g21849.t1a",49,47,0,0,41,27,80,35,50,62,34
"Pocillopora_acuta_HIv2___TS.g30156.t1",67,29,31,13,63,26,58,37,33,20,21
"Pocillopora_acuta_HIv2___RNAseq.g19114.t1",215,172,4,4,340,33,198,253,372,53,40
"Pocillopora_acuta_HIv2___RNAseq.g25319.t1",191,208,261,254,267,238,266,169,292,259,125
"Pocillopora_acuta_HIv2___RNAseq.g3447.t1",2244,1844,2914,3593,2083,2440,4096,1618,2466,3059,274
"Pocillopora_acuta_HIv2___RNAseq.g12580.t1",25,34,17,21,33,17,37,6,22,34,36
"Pocillopora_acuta_HIv2___RNAseq.g11463.t1",724,826,764,1076,950,1052,748,895,606,643,499
"Pocillopora_acuta_HIv2___RNAseq.g19803.t1",277,335,504,469,290,342,297,221,316,282,159
"Pocillopora_acuta_HIv2___TS.g26180.t1",3153,4836,2827,3202,4079,3614,3453,3721,2991,2857,1587
"Pocillopora_acuta_HIv2___TS.g9216.t1",16,10,20,13,20,15,15,10,25,22,10
"Pocillopora_acuta_HIv2___RNAseq.g3245.t1",30,38,92,48,48,74,55,56,88,41,34
"Pocillopora_acuta_HIv2___RNAseq.g3208.t1",243,282,14,44,357,170,312,214,285,317,142
"Pocillopora_acuta_HIv2___RNAseq.g14832.t1",130,151,41,72,162,114,246,167,200,190,70
"Pocillopora_acuta_HIv2___RNAseq.g11461.t1",371,413,105,197,462,421,380,536,438,386,137
"Pocillopora_acuta_HIv2___RNAseq.g2715.t1",11,12,39,33,16,15,12,0,23,11,21
"Pocillopora_acuta_HIv2___TS.g17954.t1b",336,398,368,371,451,306,516,396,525,451,64
"Pocillopora_acuta_HIv2___TS.g17954.t1a",5381,6345,4536,4630,6596,4961,7242,6226,4969,6150,1299
"Pocillopora_acuta_HIv2___RNAseq.g13323.t1",492,475,1284,902,551,591,552,474,533,553,96
"Pocillopora_acuta_HIv2___RNAseq.g7093.t1",2693,3310,2571,2762,3275,2608,2843,3042,2416,2531,941
"Pocillopora_acuta_HIv2___TS.g16330.t1",297,546,128,266,444,326,675,328,317,424,75
"Pocillopora_acuta_HIv2___TS.g3103.t1",625,700,689,564,684,477,664,421,700,544,294
"Pocillopora_acuta_HIv2___RNAseq.g12314.t1",712,878,650,854,891,1023,773,959,829,872,296
"Pocillopora_acuta_HIv2___RNAseq.g7345.t1",1168,1054,1274,1256,1024,918,906,923,1672,829,2395
"Pocillopora_acuta_HIv2___TS.g5231.t1",418,579,822,610,533,521,422,417,462,525,174
"Pocillopora_acuta_HIv2___RNAseq.g7091.t1",15,17,27,26,8,26,25,14,22,9,8
"Pocillopora_acuta_HIv2___RNAseq.g16361.t1",182,175,149,110,163,144,128,98,207,130,129
"Pocillopora_acuta_HIv2___RNAseq.g946.t1",19,28,30,27,16,33,63,31,25,44,11
"Pocillopora_acuta_HIv2___RNAseq.g4241.t1",176,205,127,127,167,208,159,123,164,179,42
"Pocillopora_acuta_HIv2___RNAseq.g26735.t1",2157,1780,525,923,2553,1123,2521,1776,2182,2401,753
"Pocillopora_acuta_HIv2___RNAseq.g28875.t1",768,1204,561,629,941,697,886,821,882,969,262
"Pocillopora_acuta_HIv2___RNAseq.g16367.t1",839,924,1200,1256,1231,1084,1067,1245,677,1166,263
"Pocillopora_acuta_HIv2___RNAseq.g5358.t1",1144,1136,855,1248,1023,890,887,811,761,716,569
"Pocillopora_acuta_HIv2___RNAseq.g12567.t1",444,738,339,205,661,490,1228,311,364,709,104
"Pocillopora_acuta_HIv2___RNAseq.g28097.t1b",113,64,158,130,134,48,84,53,134,60,122
"Pocillopora_acuta_HIv2___TS.g8404.t1",429,580,473,428,458,479,406,413,433,481,111
"Pocillopora_acuta_HIv2___RNAseq.g13749.t1",124,132,121,119,190,94,134,86,185,115,59
"Pocillopora_acuta_HIv2___TS.g16332.t1",71,84,61,83,40,95,99,40,95,121,13
"Pocillopora_acuta_HIv2___RNAseq.g12316.t1",206,123,196,252,170,151,206,195,203,162,82
"Pocillopora_acuta_HIv2___RNAseq.g8449.t1",585,623,918,876,723,614,521,527,734,666,544
"Pocillopora_acuta_HIv2___RNAseq.g28746.t1",462,703,1794,1328,510,717,1004,459,719,721,123
"Pocillopora_acuta_HIv2___RNAseq.g26737.t1",254,260,378,326,232,218,211,177,235,200,109
"Pocillopora_acuta_HIv2___RNAseq.g10903.t1",1089,1090,1062,1017,1183,811,840,900,763,935,375
"Pocillopora_acuta_HIv2___RNAseq.g10049.t1",71,16,0,0,7,20,601,22,85,85,65
"Pocillopora_acuta_HIv2___TS.g3408.t1",122,92,125,99,114,87,116,74,119,54,26
"Pocillopora_acuta_HIv2___RNAseq.g12997.t1",581,1033,349,413,682,789,980,568,657,644,863
"Pocillopora_acuta_HIv2___RNAseq.g24445.t1",524,419,988,694,693,504,588,443,670,592,219
"Pocillopora_acuta_HIv2___RNAseq.g11568.t1",338,294,731,591,333,410,377,409,343,466,118
"Pocillopora_acuta_HIv2___TS.g20332.t1c",176,65,20,35,163,69,232,28,181,171,163
"Pocillopora_acuta_HIv2___TS.g20332.t1a",254,319,245,268,304,321,302,201,295,193,143
"Pocillopora_acuta_HIv2___TS.g17990.t1",49,58,45,27,78,40,58,38,108,85,38
"Pocillopora_acuta_HIv2___RNAseq.g735.t1",41,20,29,18,68,25,18,33,48,20,20
"Pocillopora_acuta_HIv2___RNAseq.g13844.t1",1761,1711,2552,2267,2003,1848,1910,1570,1952,1770,1540
"Pocillopora_acuta_HIv2___RNAseq.g23055.t1b",172,245,528,290,351,220,303,173,191,224,275
"Pocillopora_acuta_HIv2___RNAseq.g9964.t1",35,16,33,27,31,36,32,31,53,28,4
"Pocillopora_acuta_HIv2___RNAseq.g14009.t1",202,119,178,162,131,174,135,99,197,130,58
"Pocillopora_acuta_HIv2___RNAseq.g29151.t1",1386,1635,1240,1209,1607,1259,1438,1333,1628,1322,606
"Pocillopora_acuta_HIv2___TS.g12313.t1",100,225,63,40,135,107,130,194,138,120,45
"Pocillopora_acuta_HIv2___RNAseq.g24112.t1",215,213,92,76,163,183,153,206,271,169,89
"Pocillopora_acuta_HIv2___TS.g25307.t1",1188,1373,934,819,1241,1184,1341,1166,1713,1298,365
"Pocillopora_acuta_HIv2___TS.g5006.t1c",825,525,131,100,617,307,745,373,847,691,294
"Pocillopora_acuta_HIv2___TS.g5006.t1b",70,216,46,19,22,314,234,97,53,73,49
"Pocillopora_acuta_HIv2___RNAseq.g28744.t1",138,34,0,5,56,38,90,44,102,66,108
"Pocillopora_acuta_HIv2___RNAseq.g3093.t1",42,42,21,33,35,47,40,17,35,39,22
"Pocillopora_acuta_HIv2___RNAseq.g3234.t1",39,17,27,9,14,19,30,8,44,28,11
"Pocillopora_acuta_HIv2___RNAseq.g12035.t1a",38,21,36,31,41,30,46,41,95,48,7
"Pocillopora_acuta_HIv2___RNAseq.g23181.t1",944,938,21,90,1178,261,739,881,1053,748,323
"Pocillopora_acuta_HIv2___RNAseq.g27634.t1",575,157,63,70,361,128,269,238,464,306,164
"Pocillopora_acuta_HIv2___RNAseq.g12035.t1b",2224,3303,1951,1644,3336,2688,2850,2485,3703,2607,1940
"Pocillopora_acuta_HIv2___RNAseq.g26675.t1",106,114,92,102,134,119,197,95,72,110,36
"Pocillopora_acuta_HIv2___RNAseq.g9306.t1",40,20,18,13,30,21,29,24,30,29,9
"Pocillopora_acuta_HIv2___TS.g25446.t1",46,13,38,51,23,23,11,21,34,20,17
"Pocillopora_acuta_HIv2___RNAseq.g18066.t1",12,17,54,25,11,37,0,21,19,30,8
"Pocillopora_acuta_HIv2___RNAseq.g4970.t1",1174,1590,1742,1706,1609,1264,1105,1341,1166,935,705
"Pocillopora_acuta_HIv2___TS.g2253.t1",70,153,51,41,38,167,93,190,84,42,76
"Pocillopora_acuta_HIv2___RNAseq.g18475.t1",533,1962,310,322,1433,1019,506,810,1262,668,156
"Pocillopora_acuta_HIv2___RNAseq.g17065.t1",71,1055,518,6595,5458,1099,205,1152,749,2513,66
"Pocillopora_acuta_HIv2___RNAseq.g17907.t1a",105,70,20,30,65,59,131,52,60,49,36
"Pocillopora_acuta_HIv2___RNAseq.g17907.t1b",1182,1618,1219,1241,1981,1317,1741,1510,1256,1542,443
"Pocillopora_acuta_HIv2___RNAseq.g16982.t1",805,947,1047,1035,1091,729,921,927,983,905,240
"Pocillopora_acuta_HIv2___RNAseq.g10487.t1",12,13,17,21,6,12,12,8,12,11,5
"Pocillopora_acuta_HIv2___RNAseq.11901_t",969,1114,1044,1278,1173,1023,1047,1095,1297,1133,389
"Pocillopora_acuta_HIv2___TS.g4221.t1",275,232,283,301,336,236,265,317,228,227,80
"Pocillopora_acuta_HIv2___RNAseq.g18103.t1",232,218,86,81,282,138,398,154,215,321,123
"Pocillopora_acuta_HIv2___RNAseq.g21922.t1",86,88,30,79,64,91,65,72,103,89,40
"Pocillopora_acuta_HIv2___TS.g29241.t1",242,104,16,37,228,65,214,110,277,196,75
"Pocillopora_acuta_HIv2___RNAseq.g944.t1",37,13,15,84,20,28,13,15,22,25,5
"Pocillopora_acuta_HIv2___RNAseq.g11190.t1",79,99,23,25,152,48,191,84,42,141,31
"Pocillopora_acuta_HIv2___RNAseq.g1463.t1",17,15,25,17,15,15,21,16,13,14,0
"Pocillopora_acuta_HIv2___RNAseq.g14784.t1",1328,1523,1176,1082,1128,1168,1221,1014,1736,1088,1330
"Pocillopora_acuta_HIv2___RNAseq.g26445.t1",338,320,251,283,452,394,285,356,372,410,73
"Pocillopora_acuta_HIv2___RNAseq.g18450.t1",48,58,44,42,49,44,27,53,189,41,24
"Pocillopora_acuta_HIv2___TS.g29157.t2",1161,779,1362,1034,1082,970,912,705,1414,1159,1143
"Pocillopora_acuta_HIv2___RNAseq.g18231.t1",2028,2465,1530,1782,2226,2457,1943,2289,2345,2101,696
"Pocillopora_acuta_HIv2___RNAseq.g13338.t1",143,86,0,6,55,38,164,60,92,40,82
"Pocillopora_acuta_HIv2___RNAseq.g2694.t1",494,945,2857,1956,1038,1104,1362,644,674,1007,219
"Pocillopora_acuta_HIv2___RNAseq.g4336.t1",125,35,19,36,51,28,92,65,95,76,41
"Pocillopora_acuta_HIv2___RNAseq.g8520.t1",347,457,362,449,496,576,252,342,258,410,204
"Pocillopora_acuta_HIv2___TS.g1077.t1",208,233,198,183,296,169,273,125,106,179,38
"Pocillopora_acuta_HIv2___RNAseq.g1042.t1",166,141,107,143,193,219,166,157,190,226,105
"Pocillopora_acuta_HIv2___TS.g12056.t1",842,1208,944,875,1146,1066,1094,1109,782,1061,369
"Pocillopora_acuta_HIv2___TS.g24430.t1",1233,1777,1524,1275,1321,1371,1565,1266,1513,1329,278
"Pocillopora_acuta_HIv2___RNAseq.g20992.t1",19,35,105,35,35,35,35,33,39,59,9
"Pocillopora_acuta_HIv2___RNAseq.g28959.t1",730,1001,221,369,1289,560,1281,750,759,994,410
"Pocillopora_acuta_HIv2___RNAseq.g3200.t1",97,109,137,113,91,74,99,58,118,88,94
"Pocillopora_acuta_HIv2___RNAseq.g10384.t1",84,147,41,81,144,131,174,122,113,170,32
"Pocillopora_acuta_HIv2___RNAseq.g8859.t1c",1510,1336,707,739,1889,725,1696,1519,1751,1225,682
"Pocillopora_acuta_HIv2___RNAseq.g8859.t1b",308,228,105,123,357,104,282,269,308,212,44
"Pocillopora_acuta_HIv2___RNAseq.g2388.t1",38,35,11,21,64,38,19,27,28,30,3
"Pocillopora_acuta_HIv2___RNAseq.g5138.t1",1628,1538,4560,4614,1233,2651,2166,1143,1106,2064,906
"Pocillopora_acuta_HIv2___TS.g14075.t1",840,733,1665,1538,752,821,1484,683,1293,726,250
"Pocillopora_acuta_HIv2___RNAseq.g21700.t1",157,186,207,191,130,177,112,175,164,141,70
"Pocillopora_acuta_HIv2___RNAseq.g3078.t1",12,22,10,13,6,12,35,17,8,10,19
"Pocillopora_acuta_HIv2___RNAseq.g22048.t1",631,958,1109,1051,939,730,691,761,884,573,404
"Pocillopora_acuta_HIv2___RNAseq.g16575.t1",32,18,32,26,31,32,15,48,22,38,7
"Pocillopora_acuta_HIv2___RNAseq.g6691.t1",346,377,353,248,403,488,312,450,406,348,179
"Pocillopora_acuta_HIv2___RNAseq.g19146.t1",79,83,68,76,95,88,108,93,88,69,26
"Pocillopora_acuta_HIv2___RNAseq.g31042.t1",179,163,207,194,222,175,228,227,176,244,61
"Pocillopora_acuta_HIv2___RNAseq.g1040.t1",157,128,293,215,146,172,164,85,218,122,205
"Pocillopora_acuta_HIv2___TS.g9118.t1b",185,191,116,93,197,165,182,134,274,163,77
