Date,Calib.Date,Time,tank,squaricle,SampleID,pH,pH_mV,temp,salinity,,
20220706,20220618,12:56,C,1,C_Sq1_20220706,8.08,-82.57232,27.7,37.13,,
20220706,20220618,13:02,C,2,C_Sq2_20220706,8.01,-78.38954,27.6,37,,
20220706,20220618,13:07,C,3,C_Sq3_20220706,8.01,-78.38954,27.5,36.97,,
20220706,20220618,13:04,M,1,M_Sq1_20220706,7.85,-68.8289,29.2,37.05,,
20220706,20220618,13:05,M,2,M_Sq2_20220706,7.87,-70.02398,29.3,37.07,,
20220706,20220618,13:07,M,3,M_Sq3_20220706,7.89,-71.21906,28.6,37.11,,
20220706,20220618,13:09,H,1,H_Sq1_20220706,7.61,-54.48794,31.1,37.11,,
20220706,20220618,13:12,H,2,H_Sq2_20220706,7.64,-56.28056,31,37.15,,
20220706,20220618,13:15,H,3,H_Sq3_20220706,7.66,-57.47564,30.7,37.15,,
20220706,20220618,17:01,C,1,C_Sq1_20220706,8.03,-79.58462,27.5,37.13,,
20220706,20220618,17:04,C,2,C_Sq2_20220706,7.98,-76.59692,27.4,36.99,,
20220706,20220618,17:05,C,3,C_Sq3_20220706,8.01,-78.38954,27.5,37.03,,
20220706,20220618,17:08,M,1,M_Sq1_20220706,7.8,-65.8412,29,37.01,,
20220706,20220618,17:10,M,2,M_Sq2_20220706,7.87,-70.02398,29.2,37.1,,
20220706,20220618,17:12,M,3,M_Sq3_20220706,7.89,-71.21906,29.4,37.22,,
20220706,20220618,17:14,H,1,H_Sq1_20220706,7.63,-55.68302,31.2,37.14,,
20220706,20220618,17:16,H,2,H_Sq2_20220706,7.69,-59.26826,30.9,37.15,,
20220706,20220618,17:19,H,3,H_Sq3_20220706,7.7,-59.8658,31.1,37.11,,
20220707,20220618,9:12,C,1,C_Sq1_20220707,7.84,-68.23136,27.2,37.01,,
20220707,20220618,9:14,C,2,C_Sq2_20220707,7.92,-73.01168,27.2,36.93,,
20220707,20220618,9:15,C,3,C_Sq3_20220707,7.88,-70.62152,26.8,37.06,,
20220707,20220618,9:18,M,1,M_Sq1_20220707,7.71,-60.46334,28.8,36.97,,
20220707,20220618,9:21,M,2,M_Sq2_20220707,7.75,-62.8535,27.9,37.07,,
20220707,20220618,9:23,M,3,M_Sq3_20220707,7.76,-63.45104,27.9,37.06,,
20220707,20220618,9:27,H,1,H_Sq1_20220707,7.53,-49.70762,30.9,37.01,,
20220707,20220618,9:30,H,2,H_Sq2_20220707,7.58,-52.69532,30.8,37.03,,
20220707,20220618,9:32,H,3,H_Sq3_20220707,7.56,-81.97478,30.7,37.18,,
